ID-LB,ARS
B100019.LB.100372563,160775052043
B100019.LB.100372567,160775052043
B100019.LB.100374033,160775052043
B100019.LB.100386554,160775052043
B100019.LB.100392511,160775052043
B100019.LB.100521036,160775052043
B100019.LB.100673440,160775052043
B100019.LB.100673442,160775052043
B100019.LB.100697129,160775052043
B100019.LB.100834015,160775052043
B100019.LB.100834016,160775052043
B100019.LB.100834018,160775052043
B100019.LB.101018308,160775052043
B100019.LB.101030004,160775052043
B100019.LB.101130375,160775052043
B100019.LB.101139720,160775052043
B100019.LB.101149384,160775052043
B100019.LB.101180131,160775052043
B100019.LB.101180150,160775052043
B100019.LB.101246101,160775052043
B100019.LB.101301682,160775052043
B100019.LB.101301684,160775052043
B100019.LB.101338702,160775052043
B100019.LB.101451406,160775052043
B100019.LB.101451407,160775052043
B100019.LB.101667696,160775052043
B100019.LB.101698039,160775052043
B100019.LB.101740601,160775052043
B100019.LB.101793601,160775052043
B100019.LB.101801008,160775052043
B100019.LB.101816572,160775052043
B100019.LB.101920400,160775052043
B100019.LB.101920402,160775052043
B100019.LB.101926456,160775052043
B100019.LB.101926457,160775052043
B100019.LB.101943300,160775052043
B100019.LB.101964703,160775052043
B100019.LB.101968801,160775052043
B100019.LB.101968803,160775052043
B100019.LB.101984922,160775052043
B100019.LB.101984934,160775052043
B100019.LB.102009010,160775052043
B100019.LB.102127186,160775052043
B100019.LB.102215411,160775052043
B100019.LB.102241513,160775052043
B100019.LB.102241557,160775052043
B100019.LB.102241573,160775052043
B100019.LB.102241575,160775052043
B100019.LB.102241578,160775052043
B100019.LB.102241587,160775052043
B100019.LB.102267619,160775052043
B100019.LB.102267657,160775052043
B100019.LB.102267659,160775052043
B100019.LB.102351316,160775052043
B100019.LB.102351320,160775052043
B100019.LB.102363700,160775052043
B100019.LB.102363785,160775052043
B100019.LB.102381600,160775052043
B100019.LB.102381602,160775052043
B100019.LB.102381604,160775052043
B100019.LB.102463498,160775052043
B100019.LB.102541817,160775052043
B100019.LB.102541818,160775052043
B100019.LB.102541828,160775052043
B100019.LB.102541834,160775052043
B100019.LB.102541844,160775052043
B100019.LB.102541851,160775052043
B100019.LB.102541855,160775052043
B100019.LB.102541857,160775052043
B100019.LB.102541859,160775052043
B100019.LB.102541861,160775052043
B100019.LB.102541864,160775052043
B100019.LB.102541866,160775052043
B100019.LB.102541868,160775052043
B100019.LB.102541870,160775052043
B100019.LB.102541882,160775052043
B100019.LB.102541887,160775052043
B100019.LB.102541888,160775052043
B100019.LB.102541892,160775052043
B100019.LB.102541893,160775052043
B100019.LB.102541894,160775052043
B100019.LB.102541898,160775052043
B100019.LB.102541899,160775052043
B100019.LB.102548903,160775052043
B100019.LB.102548904,160775052043
B100019.LB.102548908,160775052043
B100019.LB.102548909,160775052043
B100019.LB.102548910,160775052043
B100019.LB.102548911,160775052043
B100019.LB.102548915,160775052043
B100019.LB.102548916,160775052043
B100019.LB.102548917,160775052043
B100019.LB.102548918,160775052043
B100019.LB.102548944,160775052043
B100019.LB.102548948,160775052043
B100019.LB.102548950,160775052043
B100019.LB.102548952,160775052043
B100019.LB.102548954,160775052043
B100019.LB.102548956,160775052043
B100019.LB.102548958,160775052043
B100019.LB.102548960,160775052043
B100019.LB.102548962,160775052043
B100019.LB.102548963,160775052043
B100019.LB.102548965,160775052043
B100019.LB.102548967,160775052043
B100019.LB.102548969,160775052043
B100019.LB.102548971,160775052043
B100019.LB.102548973,160775052043
B100019.LB.102552403,160775052043
B100019.LB.102552405,160775052043
B100019.LB.102554712,160775052043
B100019.LB.102554714,160775052043
B100019.LB.102554716,160775052043
B100019.LB.102554718,160775052043
B100019.LB.102554720,160775052043
B100019.LB.102554723,160775052043
B100019.LB.102554725,160775052043
B100019.LB.102554727,160775052043
B100019.LB.102554729,160775052043
B100019.LB.102554731,160775052043
B100019.LB.102554734,160775052043
B100019.LB.102554736,160775052043
B100019.LB.102554738,160775052043
B100019.LB.102554740,160775052043
B100019.LB.102554744,160775052043
B100019.LB.102554746,160775052043
B100019.LB.102554748,160775052043
B100019.LB.102554750,160775052043
B100019.LB.102554752,160775052043
B100019.LB.102554754,160775052043
B100019.LB.102554760,160775052043
B100019.LB.102554763,160775052043
B100019.LB.102554766,160775052043
B100019.LB.102554767,160775052043
B100019.LB.102554771,160775052043
B100019.LB.102554772,160775052043
B100019.LB.102573559,160775052043
B100019.LB.102573560,160775052043
B100019.LB.102573566,160775052043
B100019.LB.102583095,160775052043
B100019.LB.102583097,160775052043
B100019.LB.102583808,160775052043
B100019.LB.102583829,160775052043
B100019.LB.102583831,160775052043
B100019.LB.102583833,160775052043
B100019.LB.102583841,160775052043
B100019.LB.102583846,160775052043
B100019.LB.102583848,160775052043
B100019.LB.102583850,160775052043
B100019.LB.102587235,160775052043
B100019.LB.102587237,160775052043
B100019.LB.102587245,160775052043
B100019.LB.102587247,160775052043
B100019.LB.102587249,160775052043
B100019.LB.102587251,160775052043
B100019.LB.102587253,160775052043
B100019.LB.102587293,160775052043
B100019.LB.102604418,160775052043
B100019.LB.102684908,160775052043
B100019.LB.102684910,160775052043
B100019.LB.102684912,160775052043
B100019.LB.102684913,160775052043
B100019.LB.102684914,160775052043
B100019.LB.102684915,160775052043
B100019.LB.102684917,160775052043
B100019.LB.102684918,160775052043
B100019.LB.102684922,160775052043
B100019.LB.102684924,160775052043
B100019.LB.102684925,160775052043
B100019.LB.102684949,160775052043
B100019.LB.102684951,160775052043
B100019.LB.102684953,160775052043
B100019.LB.102690900,160775052043
B100019.LB.102690901,160775052043
B100019.LB.102690903,160775052043
B100019.LB.102690905,160775052043
B100019.LB.102690909,160775052043
B100019.LB.102690917,160775052043
B100019.LB.102690918,160775052043
B100019.LB.102690978,160775052043
B100019.LB.102690980,160775052043
B100019.LB.102703328,160775052043
B100019.LB.102703332,160775052043
B100019.LB.102703333,160775052043
B100019.LB.102703335,160775052043
B100019.LB.102703337,160775052043
B100019.LB.102703339,160775052043
B100019.LB.102703390,160775052043
B100019.LB.102703391,160775052043
B100019.LB.102703394,160775052043
B100019.LB.102703395,160775052043
B100019.LB.102703397,160775052043
B100019.LB.102711702,160775052043
B100019.LB.102711706,160775052043
B100019.LB.102711772,160775052043
B100019.LB.102711774,160775052043
B100019.LB.102711776,160775052043
B100019.LB.102711778,160775052043
B100019.LB.102711780,160775052043
B100019.LB.102711783,160775052043
B100019.LB.102711784,160775052043
B100019.LB.102711788,160775052043
B100019.LB.102711789,160775052043
B100019.LB.102711792,160775052043
B100019.LB.102711793,160775052043
B100019.LB.102713860,160775052043
B100019.LB.102713862,160775052043
B100019.LB.102713877,160775052043
B100019.LB.102713879,160775052043
B100019.LB.102713893,160775052043
B100019.LB.102713895,160775052043
B100019.LB.102713897,160775052043
B100019.LB.102713899,160775052043
B100019.LB.102716301,160775052043
B100019.LB.102716303,160775052043
B100019.LB.102716305,160775052043
B100019.LB.102716333,160775052043
B100019.LB.102716335,160775052043
B100019.LB.102716358,160775052043
B100019.LB.102716360,160775052043
B100019.LB.102716362,160775052043
B100019.LB.102716374,160775052043
B100019.LB.102716379,160775052043
B100019.LB.102716381,160775052043
B100019.LB.102716390,160775052043
B100019.LB.102716391,160775052043
B100019.LB.102716393,160775052043
B100019.LB.102716394,160775052043
B100019.LB.102717621,160775052043
B100019.LB.102717623,160775052043
B100019.LB.102717628,160775052043
B100019.LB.102717633,160775052043
B100019.LB.102717657,160775052043
