experiment,model,valid_turtle_all,valid_shacl_all,graph_edit_distance_all,ged_timeout_all,gbert_precision_all,gbert_recall_all,gbert_f1_all,triple_accuracy_all,triple_precision_all,triple_recall_all,triple_f1_all,validation_accuracy_all,validation_precision_all,validation_recall_all,validation_f1_all,graph_edit_distance_valid_only,gbert_precision_valid_only,gbert_recall_valid_only,gbert_f1_valid_only,triple_accuracy_valid_only,triple_precision_valid_only,triple_recall_valid_only,triple_f1_valid_only,validation_accuracy_valid_only,validation_precision_valid_only,validation_recall_valid_only,validation_f1_valid_only,runtime (sec),completion_tokens,prompt_tokens
fewshot_1ex3fcv_1745924000,mistral-large-instruct,0.8571,0.7143,0.5737,1.0,0.7739,0.636,0.659,0.5007,0.4767,0.431,0.4389,0.6157,0.1459,0.2381,0.1487,0.4988,0.8868,0.7745,0.7772,0.5944,0.5704,0.5431,0.5403,0.862,0.2042,0.3333,0.2082,120.8917,623.2381,10532.7143
fewshot_1ex3fcv_1745913822,qwq-32b,0.5238,0.3,0.7349,1.0,0.4926,0.423,0.4384,0.3938,0.3686,0.3241,0.3373,0.2831,0.0952,0.0952,0.0952,0.4898,0.9936,0.831,0.8814,0.8159,0.8032,0.7132,0.7445,0.991,0.3333,0.3333,0.3333,140.1321,3790.7619,8817.8571
fewshot_1ex3fcv_1745913822,llama-3.1-sauerkrautlm-70b-instruct,0.9524,0.8095,0.5612,1.0,0.8109,0.8021,0.7606,0.5659,0.5179,0.511,0.5037,0.7952,0.0476,0.0476,0.0476,0.53,0.8936,0.8274,0.8237,0.642,0.5942,0.5663,0.5716,0.9823,0.0588,0.0588,0.0588,38.3445,680.2857,8761.9048
fewshot_1ex3fcv_1745913822,mistral-large-instruct,0.8571,0.75,0.5611,0.9444,0.8097,0.6506,0.6981,0.5641,0.5524,0.4897,0.5123,0.7058,0.2381,0.2381,0.2381,0.4756,0.9371,0.7832,0.8229,0.683,0.689,0.6242,0.6465,0.9882,0.3333,0.3333,0.3333,123.7416,767.3333,10801.1429
cot_1ex3fcv_1745958629,qwq-32b,0.619,0.619,0.6467,0.8462,0.6147,0.5132,0.552,0.4755,0.4771,0.4174,0.4415,0.6138,0.2827,0.3333,0.3012,0.4294,0.993,0.829,0.8917,0.768,0.7706,0.6742,0.7132,0.9915,0.4567,0.5385,0.4866,139.2903,4464.5238,9381.7619
cot_1ex3fcv_1745958629,llama-3.1-sauerkrautlm-70b-instruct,0.7619,0.6,0.6168,0.9375,0.6902,0.6358,0.6352,0.4937,0.4549,0.4282,0.4329,0.5618,0.244,0.2528,0.2465,0.4747,0.9435,0.8346,0.8554,0.7063,0.6785,0.629,0.6429,0.9831,0.427,0.4425,0.4314,50.5331,965.9524,9306.3333
cot_1ex3fcv_1745958629,mistral-large-instruct,0.8571,0.7143,0.555,0.8889,0.8409,0.6165,0.6823,0.604,0.6031,0.484,0.5274,0.7013,0.3893,0.4459,0.387,0.4711,0.9921,0.7236,0.8051,0.7321,0.7257,0.5907,0.6396,0.9818,0.545,0.6242,0.5419,114.0722,785.9524,11471.2381
cot_1ex3fcv_1746012360,qwq-32b,0.5714,0.4286,0.6919,0.9167,0.5626,0.4765,0.5094,0.4331,0.4171,0.3509,0.378,0.424,0.226,0.2814,0.2459,0.4592,0.9904,0.8084,0.877,0.7936,0.7882,0.6535,0.708,0.9894,0.5274,0.6566,0.5737,127.3895,4102.4762,9381.7619
cot_1ex3fcv_1746012360,llama-3.1-sauerkrautlm-70b-instruct,0.75,0.6316,0.5935,0.8667,0.6931,0.6308,0.6396,0.4666,0.4411,0.4211,0.4258,0.5937,0.2,0.2,0.2,0.4309,0.9173,0.8879,0.8806,0.6412,0.6184,0.6132,0.6105,0.9894,0.3333,0.3333,0.3333,118.6241,1005.5,9331.9
cot_1ex3fcv_1746012360,mistral-large-instruct,0.9524,0.8,0.4889,0.9,0.9306,0.6967,0.7714,0.631,0.6155,0.509,0.5478,0.7522,0.3333,0.29,0.2937,0.4781,0.9914,0.7052,0.7965,0.7209,0.699,0.568,0.6156,0.9873,0.4375,0.3807,0.3854,203.7201,777.0,11471.2381
cot_1ex3fcv_1746031470,qwq-32b,0.619,0.5238,0.6644,0.9231,0.5934,0.4673,0.5039,0.4404,0.4198,0.362,0.3802,0.5188,0.2659,0.2553,0.2539,0.4557,0.9537,0.7556,0.8076,0.7439,0.7174,0.6252,0.6522,0.9905,0.5076,0.4874,0.4847,108.7825,4137.9524,9381.7619
cot_1ex3fcv_1746031470,llama-3.1-sauerkrautlm-70b-instruct,0.8095,0.65,0.5825,0.9412,0.7482,0.6619,0.6719,0.4872,0.4649,0.4432,0.4468,0.6074,0.2381,0.2381,0.2381,0.4663,0.9257,0.8382,0.8404,0.6531,0.6268,0.6098,0.6085,0.9812,0.3846,0.3846,0.3846,47.9716,964.0476,9306.3333
cot_1ex3fcv_1746031470,mistral-large-instruct,0.9048,0.85,0.5401,0.8947,0.8937,0.6309,0.7102,0.6051,0.5962,0.4693,0.5128,0.8008,0.315,0.3203,0.3175,0.4873,0.9881,0.6997,0.7829,0.6894,0.6929,0.5468,0.5959,0.9892,0.3891,0.3957,0.3922,173.7128,741.8095,11471.2381
